order_no,line_no,order_date,customer_no,branch_code,salesperson_code,item_no,uom,ordered_qty,filled_qty,cancelled_qty,unit_price,unit_cost,promised_date,shipped_date,order_status
SO-10001,1,2026-01-05,CT-1002,RL-BRI,S102,DW-6010,EA,1,1,0,288.06,224.60,2026-01-08,2026-01-06,PARTIAL
SO-10001,2,2026-01-05,CT-1002,RL-BRI,S102,RM-1002,EA,4,3,0,6.65,4.95,2026-01-08,2026-01-06,PARTIAL
SO-10002,1,2026-01-05,CT-1007,RL-BRI,S102,PT-5001,EA,1,1,0,41.88,32.20,2026-01-07,2026-01-07,SHIPPED
SO-10002,2,2026-01-05,CT-1007,RL-BRI,S102,PT-5002,EA,1,1,0,32.01,23.70,2026-01-07,2026-01-07,SHIPPED
SO-10003,1,2026-01-05,BL-3001,RL-BRI,S102,RM-1011,EA,1,1,0,21.99,17.95,2026-01-07,2026-01-08,SHIPPED
SO-10003,2,2026-01-05,BL-3001,RL-BRI,S102,RM-1020,EA,2,2,0,4.99,4.05,2026-01-07,2026-01-08,SHIPPED
SO-10003,3,2026-01-05,BL-3001,RL-BRI,S102,SX-7010,EA,1,1,0,13.17,10.65,2026-01-07,2026-01-08,SHIPPED
SO-10003,4,2026-01-05,BL-3001,RL-BRI,S102,CM-3002,BG,2,2,0,4.94,3.90,2026-01-07,2026-01-08,SHIPPED
SO-10003,5,2026-01-05,BL-3001,RL-BRI,S102,RM-1011,EA,2,2,0,22.87,17.95,2026-01-07,2026-01-08,SHIPPED
SO-10004,1,2026-01-05,CT-1003,RL-KPT,S105,RM-1003,EA,1,1,0,10.34,8.25,2026-01-12,2026-01-06,SHIPPED
SO-10004,2,2026-01-05,CT-1003,RL-KPT,S105,RF-4020,LF,1,1,0,2.32,1.69,2026-01-12,2026-01-06,SHIPPED
SO-10004,3,2026-01-05,CT-1003,RL-KPT,S105,SX-7010,EA,1,1,0,14.42,10.65,2026-01-12,2026-01-06,SHIPPED
SO-10004,4,2026-01-05,CT-1003,RL-KPT,S105,RF-4001,BNDL,2,2,0,37.14,27.90,2026-01-12,2026-01-06,SHIPPED
SO-10004,5,2026-01-05,CT-1003,RL-KPT,S105,PT-5010,EA,1,1,0,11.98,9.05,2026-01-12,2026-01-06,SHIPPED
SO-10005,1,2026-01-06,CT-1001,RL-JCB,S104,SX-7010,EA,1,1,0,14.59,10.65,2026-01-13,2026-01-07,SHIPPED
SO-10005,2,2026-01-06,CT-1001,RL-JCB,S104,RM-1001,EA,4,4,0,3.93,2.86,2026-01-13,2026-01-07,SHIPPED
SO-10006,1,2026-01-06,CT-1005,RL-JCB,S104,FS-2011,EA,1,1,0,46.68,34.90,2026-01-08,2026-01-09,SHIPPED
SO-10006,2,2026-01-06,CT-1005,RL-JCB,S104,CM-3001,BG,1,1,0,6.53,4.95,2026-01-08,2026-01-09,SHIPPED
SO-10006,3,2026-01-06,CT-1005,RL-JCB,S104,RM-1001,EA,4,4,0,3.63,2.86,2026-01-08,2026-01-09,SHIPPED
SO-10007,1,2026-01-07,CT-1005,RL-BRI,S101,FS-2001,BX,1,1,0,27.22,20.60,2026-01-13,2026-01-08,SHIPPED
SO-10008,1,2026-01-07,CT-1005,RL-KPT,S105,PT-5010,EA,1,1,0,11.49,9.05,2026-01-10,2026-01-10,SHIPPED
SO-10008,2,2026-01-07,CT-1005,RL-KPT,S105,CM-3010,BG,1,1,0,12.37,9.30,2026-01-10,2026-01-10,SHIPPED
SO-10008,3,2026-01-07,CT-1005,RL-KPT,S105,RM-1001,EA,2,2,0,3.67,2.86,2026-01-10,2026-01-10,SHIPPED
SO-10008,4,2026-01-07,CT-1005,RL-KPT,S105,RM-1003,EA,2,2,0,10.53,8.25,2026-01-10,2026-01-10,SHIPPED
SO-10008,5,2026-01-07,CT-1005,RL-KPT,S105,TL-9002,EA,1,1,0,8.84,6.40,2026-01-10,2026-01-10,SHIPPED
SO-10009,1,2026-01-07,BL-3002,RL-KPT,S103,PT-5002,EA,1,1,0,30.21,23.70,2026-01-12,2026-01-11,PARTIAL
SO-10009,2,2026-01-07,BL-3002,RL-KPT,S103,RM-1021,EA,1,1,0,35.95,28.10,2026-01-12,2026-01-11,PARTIAL
SO-10009,3,2026-01-07,BL-3002,RL-KPT,S103,RM-1021,EA,1,1,0,34.85,28.10,2026-01-12,2026-01-11,PARTIAL
SO-10009,4,2026-01-07,BL-3002,RL-KPT,S103,DW-6010,EA,1,1,0,290.15,224.60,2026-01-12,2026-01-11,PARTIAL
